HP002,GLA,PLS,HLW PATAH,UBS,37.50%,2.05,
HP004,GLA,PLS,HLW PATAH,UBS,37.50%,3.05,
GP002,GL,PLS,HLW PATAH VAR PTH,UBS,37.50%,4.11,
GP003,GL,PLS,HLW PATAH VAR PTH,UBS,37.50%,7.05,
GP004,GL,PLS,HLW PATAH VAR PTH,UBS,37.50%,4.05,
GP007,GL,PLS,FNC PATAH VAR PTH,HWT,37.50%,4,
GP008,GL,PLS,HLW,UBS,42%,8.16,
GP009,GL,PLS,HLW,UBS,42%,8.06,
GP010,GL,PLS,HLW,UBS,42%,12.14,
GP011,GL,PLS,HLW,UBS,42%,8.06,
GP012,GL,PLS,HLW,UBS,42%,8.03,
GP016,GL,PLS,SQ DOUBLE,UBS,42%,4.14,
GP018,GL,PLS,SQ DOUBLE,UBS,42%,1.94,
GP019,GL,PLS,SQ DOUBLE,UBS,42%,3.05,
GP021,GL,PLS,SQ DOUBLE,UBS,42%,2,
GP023,GL,PLS,SQ DOUBLE,HWT,37.50%,5.1,
GP027,GL,PLS,SQ DOUBLE,HWT,37.50%,5.1,
GP028,GL,PLS,SQ DOUBLE,UBS,37.50%,10.12,
GP029,GL,PLS,SQ DOUBLE,UBS,37.50%,10.09,
